,code,weight,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
0,MALE,0.511628,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
1,FEMALE,0.488372,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
2,MALE,0.511628,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
3,FEMALE,0.488372,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
4,MALE,0.511628,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
5,FEMALE,0.488372,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
6,FEMALE,0.96026,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
7,MALE,0.03974,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
8,MALE,0.039773,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
9,FEMALE,0.960227,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
10,MALE,0.039741,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
11,FEMALE,0.960259,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
12,FEMALE,0.934947,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
13,MALE,0.065053,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
14,MALE,0.065053,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
15,FEMALE,0.934947,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
16,FEMALE,0.934947,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
17,MALE,0.065053,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
18,FEMALE,0.875957,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
19,MALE,0.124043,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
20,FEMALE,0.876147,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
21,MALE,0.123853,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
22,MALE,0.14535,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
23,FEMALE,0.85465,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
24,MALE,0.14502,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
25,FEMALE,0.85498,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
26,FEMALE,0.854593,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
27,MALE,0.145407,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
28,MALE,0.703274,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
29,FEMALE,0.296726,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
30,MALE,0.703274,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
31,FEMALE,0.296726,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
32,FEMALE,0.828108,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
33,MALE,0.171892,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
34,FEMALE,0.828166,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
35,MALE,0.171834,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
0,FEMALE,0.828325,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
1,MALE,0.171675,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
0,MALE,0.266292,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662646335
1,FEMALE,0.733708,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662646335
2,MALE,0.266292,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662975205
3,FEMALE,0.733708,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662975205
4,MALE,0.266409,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1664431698
5,FEMALE,0.733591,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1664431698
6,FEMALE,0.9532,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
