,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE,notable_users_ratio,audience_credibility,credibility_class
0,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911,0.1824,0.6938,bad
1,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477,0.1863,0.706,bad
2,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609,0.1857,0.7052,bad
3,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050,0.2559,0.7502,bad
4,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222,0.2581,0.7416,bad
5,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578,0.2656,0.7494,bad
6,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423,0.3454,0.7883,bad
7,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932,0.3562,0.7794,bad
8,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464,0.3527,0.7858,bad
9,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018,0.4245,0.7146,bad
10,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484,0.4224,0.7104,bad
11,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468,0.5585,0.8488,low
12,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796,0.5583,0.8494,low
13,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368,0.5573,0.8494,low
14,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487,0.5373,0.9468,high
15,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024,0.5371,0.947,high
16,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489,0.687,0.8645,normal
17,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071,0.6862,0.8641,normal
18,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087,0.2249,0.451,bad
19,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999,0.2332,0.4506,bad
20,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625,0.2662,0.7753,bad
21,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169,0.2642,0.7681,bad
0,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858,0.2653,0.7708,bad
0,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662646335,0.2838,0.703,bad
1,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662975205,0.2925,0.7157,bad
2,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1664431698,0.2864,0.7047,bad
3,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493,0.1143,0.5233,bad
4,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662975103,0.1164,0.5224,bad
5,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1664431913,0.1246,0.5264,bad
6,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1664431628,0.2145,0.642,bad
7,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713,0.2195,0.6474,bad
8,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662974799,0.2165,0.6427,bad
9,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,lexie_byers,1664431557,0.2427,0.7362,bad
10,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,lexie_byers,1662645401,0.2383,0.7397,bad
11,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,lexie_byers,1662974773,0.2358,0.7388,bad
12,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1662645498,0.030409,0.187116,bad
13,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1662974744,0.030049,0.185496,bad
14,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1664431478,0.033902,0.19091,bad
15,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662975016,0.316,0.8815,normal
16,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662645515,0.3112,0.8814,normal
17,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1664431791,0.3136,0.88,normal
18,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1664431907,0.1434,0.7671,bad
19,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1662974748,0.1405,0.7619,bad
20,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1662645548,0.1403,0.755,bad
21,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154,0.0824,0.2886,bad
22,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912,0.085,0.2932,bad
23,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740,0.0827,0.286,bad
24,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1662645558,0.18351,0.660042,bad
25,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1662974738,0.18351,0.660042,bad
26,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1664431602,0.183404,0.660042,bad
27,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,blancobungalow,1664431784,0.212709,0.80074,low
28,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,blancobungalow,1662975225,0.212709,0.80074,low
29,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,blancobungalow,1662645531,0.212709,0.80074,low
30,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662974744,0.1135,0.8528,normal
31,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1664431603,0.1129,0.8527,normal
32,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662645690,0.1098,0.8517,normal
33,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662974742,0.2551,0.7573,bad
34,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1664432130,0.2551,0.7545,bad
35,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662645717,0.259,0.76,bad
36,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,wanderesskriti,1664431701,0.541106,0.843865,low
37,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,wanderesskriti,1662974816,0.540698,0.843865,low
38,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,wanderesskriti,1662645392,0.540698,0.843865,low
39,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662645707,0.2823,0.7815,bad
40,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1664431610,0.2796,0.7853,bad
41,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662975110,0.2794,0.7832,bad
42,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,raisingmavericks,1664431798,0.3676,0.8534,normal
43,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,raisingmavericks,1662645508,0.3698,0.8493,low
44,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,raisingmavericks,1662975071,0.375,0.8564,normal
45,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,rina.livinglife,1662974779,0.087612,0.733146,bad
46,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,rina.livinglife,1662646058,0.084061,0.733253,bad
47,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,rina.livinglife,1664431953,0.083233,0.735843,bad
0,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mamavamerice,1662645498,0.0627,0.7262,bad
0,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,amandane_dance,1662645460,0.0688,0.8153,low
1,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,amandane_dance,1664431702,0.0652,0.8173,low
2,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,amandane_dance,1662975275,0.0674,0.8132,low
3,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,crossfitcub,1662974879,0.381838,0.629103,bad
4,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,crossfitcub,1662645478,0.381838,0.629103,bad
5,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,crossfitcub,1664431787,0.381838,0.628884,bad
6,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,navjotkamal,1662975180,0.2554,0.7816,bad
7,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,navjotkamal,1662645409,0.2607,0.7813,bad
8,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,navjotkamal,1664432085,0.2531,0.778,bad
9,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1664431509,0.1944,0.4937,bad
10,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662645357,0.1917,0.4828,bad
11,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662974848,0.1961,0.4955,bad
12,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662645504,0.2373,0.7717,bad
13,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662974731,0.2305,0.771,bad
14,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1664431893,0.2375,0.7646,bad
15,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1664431507,0.1242,0.3039,bad
16,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662645374,0.1243,0.3061,bad
