,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE,notable_users_ratio,audience_credibility,credibility_class
0,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911,0.383721,0.805497,bad
1,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477,0.383721,0.805497,bad
2,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609,0.383721,0.805497,bad
3,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050,0.384347,0.889064,low
4,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222,0.384026,0.888869,low
5,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578,0.384259,0.889064,low
6,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423,0.450511,0.858347,low
7,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932,0.450511,0.858436,low
8,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464,0.450511,0.858436,low
9,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018,0.877124,0.939869,high
10,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484,0.875817,0.939869,high
11,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468,0.778309,0.914252,high
12,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796,0.778309,0.914849,high
13,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368,0.778309,0.914849,high
14,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087,0.3234,0.6739,bad
15,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999,0.3234,0.6737,bad
16,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625,0.616657,0.920949,high
17,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169,0.616952,0.921441,high
0,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858,0.616952,0.921244,high
0,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662646335,0.341519,0.879201,low
1,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662975205,0.341519,0.8793,low
2,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1664431698,0.341519,0.879201,low
3,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713,0.160793,0.895332,normal
4,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662974744,0.1192,0.904,normal
5,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1664431603,0.1192,0.904,normal
6,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662645690,0.1192,0.904,normal
7,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662974742,0.328622,0.864154,low
8,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1664432130,0.329277,0.871309,low
9,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662645717,0.328622,0.864154,low
10,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662645707,0.438355,0.901862,normal
11,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1664431610,0.438355,0.901774,normal
0,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662975110,0.438443,0.901774,normal
0,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1664431509,0.357485,0.751326,bad
1,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662645357,0.357398,0.751326,bad
2,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662974848,0.357398,0.751326,bad
3,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662645504,0.346124,0.839729,bad
4,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662974731,0.346037,0.839816,bad
5,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1664431893,0.346037,0.839729,bad
6,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1664431507,0.399586,0.808144,bad
7,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662645374,0.399586,0.808834,bad
8,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662975131,0.399586,0.808834,bad
9,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662645344,0.669013,0.850471,low
10,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662974898,0.669013,0.850372,low
11,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1664431656,0.669013,0.850273,low
12,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1664431890,0.082417,0.875655,low
13,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662646041,0.082417,0.875655,low
0,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662974737,0.082417,0.875655,low
0,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662645754,0.8318,0.9476,high
1,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662974781,0.8319,0.9474,high
2,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1664431617,0.8317,0.9473,high
3,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662645610,0.450168,0.866883,low
4,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662975339,0.450052,0.866883,low
5,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1664431640,0.449936,0.866883,low
6,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662975145,0.518539,0.8943,normal
7,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662645528,0.518539,0.894577,normal
8,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1664431621,0.518539,0.8943,normal
9,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662645345,0.399586,0.808834,bad
10,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1664431623,0.399586,0.808144,bad
11,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662975121,0.399586,0.808834,bad
12,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1664431845,0.353192,0.850184,low
13,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662645791,0.353192,0.850184,low
14,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662974792,0.353192,0.850184,low
15,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662974830,0.429901,0.797258,bad
16,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1664431613,0.429901,0.797358,bad
17,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662645669,0.429901,0.797358,bad
18,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1664431864,0.174393,0.88838,low
19,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662974792,0.174393,0.88838,low
