,code,weight,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
0,-500,0.2537,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
1,500-1000,0.219873,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
2,1000-1500,0.145877,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
3,1500-,0.38055,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
4,-500,0.2537,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
5,500-1000,0.218816,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
6,1000-1500,0.146934,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
7,1500-,0.38055,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
8,-500,0.2537,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
9,500-1000,0.219873,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
10,1000-1500,0.145877,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
11,1500-,0.38055,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
12,-500,0.372467,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
13,500-1000,0.320231,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
14,1000-1500,0.136967,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
15,1500-,0.170335,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
16,-500,0.373635,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
17,500-1000,0.319831,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
18,1000-1500,0.136756,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
19,1500-,0.169778,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
20,-500,0.372554,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
21,500-1000,0.320318,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
22,1000-1500,0.136967,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
23,1500-,0.170161,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
24,-500,0.244576,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
25,500-1000,0.28501,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
26,1000-1500,0.15277,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
27,1500-,0.317644,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
28,-500,0.244576,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
29,500-1000,0.285189,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
30,1000-1500,0.152591,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
31,1500-,0.317644,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
32,-500,0.244576,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
33,500-1000,0.285189,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
34,1000-1500,0.152591,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
35,1500-,0.317644,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
36,-500,0.202614,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
37,500-1000,0.223529,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
38,1000-1500,0.159477,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
39,1500-,0.414379,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
40,-500,0.203922,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
41,500-1000,0.220915,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
42,1000-1500,0.159477,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
43,1500-,0.415686,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
44,-500,0.186436,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
45,500-1000,0.17807,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
46,1000-1500,0.119211,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
47,1500-,0.516283,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
48,-500,0.187033,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
49,500-1000,0.176277,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
50,1000-1500,0.120406,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
51,1500-,0.516283,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
52,-500,0.187033,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
53,500-1000,0.176277,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
54,1000-1500,0.120406,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
55,1500-,0.516283,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
56,-500,0.1802,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
57,500-1000,0.1511,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
58,1000-1500,0.1118,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
59,1500-,0.5569,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
60,-500,0.1801,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
61,500-1000,0.1513,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
62,1000-1500,0.1116,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
63,1500-,0.557,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
64,-500,0.288344,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
65,500-1000,0.240697,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
66,1000-1500,0.131719,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
67,1500-,0.33924,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
68,-500,0.288049,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
69,500-1000,0.2405,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
70,1000-1500,0.132999,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
71,1500-,0.338452,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
0,-500,0.288049,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
1,500-1000,0.240894,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
2,1000-1500,0.132605,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
3,1500-,0.338452,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
0,-500,0.378306,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662646335
1,500-1000,0.241698,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662646335
2,1000-1500,0.113144,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662646335
3,1500-,0.266852,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662646335
4,-500,0.378306,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662975205
5,500-1000,0.241698,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662975205
6,1000-1500,0.113144,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662975205
7,1500-,0.266852,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662975205
8,-500,0.378107,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1664431698
9,500-1000,0.241897,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1664431698
10,1000-1500,0.113144,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1664431698
11,1500-,0.266852,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1664431698
12,-500,0.434898,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
13,500-1000,0.25123,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
14,1000-1500,0.125549,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
15,1500-,0.188323,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
16,-500,0.4206,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662974744
17,500-1000,0.3107,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662974744
18,1000-1500,0.1317,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662974744
19,1500-,0.137,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662974744
20,-500,0.4206,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1664431603
21,500-1000,0.3107,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1664431603
22,1000-1500,0.1317,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1664431603
23,1500-,0.137,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1664431603
24,-500,0.4206,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662645690
25,500-1000,0.3105,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662645690
26,1000-1500,0.1318,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662645690
27,1500-,0.1371,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662645690
28,-500,0.286612,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662974742
29,500-1000,0.294857,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662974742
30,1000-1500,0.156459,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662974742
31,1500-,0.262073,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662974742
32,-500,0.288709,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1664432130
33,500-1000,0.301104,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1664432130
34,1000-1500,0.15799,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1664432130
35,1500-,0.252197,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1664432130
36,-500,0.286612,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662645717
37,500-1000,0.294857,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662645717
38,1000-1500,0.156459,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662645717
39,1500-,0.262073,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662645717
40,-500,0.295914,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662645707
41,500-1000,0.313565,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662645707
42,1000-1500,0.134145,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662645707
43,1500-,0.256376,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662645707
44,-500,0.296532,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1664431610
45,500-1000,0.312859,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1664431610
46,1000-1500,0.134057,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1664431610
47,1500-,0.256553,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1664431610
0,-500,0.296002,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662975110
1,500-1000,0.3133,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662975110
2,1000-1500,0.134322,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662975110
3,1500-,0.256376,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662975110
0,-500,0.227973,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1664431509
1,500-1000,0.219883,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1664431509
2,1000-1500,0.137427,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1664431509
3,1500-,0.414717,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1664431509
4,-500,0.228146,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662645357
5,500-1000,0.219796,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662645357
6,1000-1500,0.137514,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662645357
7,1500-,0.414543,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662645357
8,-500,0.228059,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662974848
9,500-1000,0.219796,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662974848
10,1000-1500,0.137601,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662974848
11,1500-,0.414543,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662974848
12,-500,0.381015,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662645504
13,500-1000,0.263291,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662645504
14,1000-1500,0.122161,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662645504
15,1500-,0.233533,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662645504
16,-500,0.380928,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662974731
17,500-1000,0.263291,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662974731
18,1000-1500,0.122161,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662974731
19,1500-,0.23362,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662974731
20,-500,0.381015,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1664431893
21,500-1000,0.263204,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1664431893
22,1000-1500,0.122161,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1664431893
23,1500-,0.23362,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1664431893
