,code,weight,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
0,mass_followers,0.38055,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
1,suspicious,0.042283,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
2,influencers,0.19556,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
3,real,0.381607,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
4,mass_followers,0.38055,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
5,suspicious,0.042283,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
6,influencers,0.19556,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
7,real,0.381607,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
8,mass_followers,0.38055,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
9,suspicious,0.042283,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
10,influencers,0.19556,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
11,real,0.381607,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
12,mass_followers,0.170335,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
13,suspicious,0.06499,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
14,influencers,0.263015,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
15,real,0.50166,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
16,mass_followers,0.169778,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
17,suspicious,0.065428,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
18,influencers,0.262769,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
19,real,0.502025,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
20,mass_followers,0.170161,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
21,suspicious,0.06499,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
22,influencers,0.263103,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
23,real,0.501747,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
24,mass_followers,0.317644,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
25,suspicious,0.06473,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
26,influencers,0.208983,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
27,real,0.408643,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
28,mass_followers,0.317644,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
29,suspicious,0.06464,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
30,influencers,0.209163,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
31,real,0.408553,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
32,mass_followers,0.317644,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
33,suspicious,0.06464,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
34,influencers,0.209163,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
35,real,0.408553,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
36,mass_followers,0.414379,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
37,suspicious,0.035294,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
38,influencers,0.457516,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
39,real,0.09281,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
40,mass_followers,0.415686,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
41,suspicious,0.035294,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
42,influencers,0.454902,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
43,real,0.094118,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
44,mass_followers,0.516283,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
45,suspicious,0.04153,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
46,influencers,0.255453,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
47,real,0.186734,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
48,mass_followers,0.516283,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
49,suspicious,0.041231,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
50,influencers,0.255751,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
51,real,0.186734,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
52,mass_followers,0.516283,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
53,suspicious,0.041231,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
54,influencers,0.255751,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
55,real,0.186734,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
56,mass_followers,0.5569,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
57,suspicious,0.0659,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
58,influencers,0.0611,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
59,real,0.3161,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
60,mass_followers,0.557,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
61,suspicious,0.066,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
62,influencers,0.0609,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
63,real,0.3161,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
64,mass_followers,0.33924,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
65,suspicious,0.04115,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
66,influencers,0.30951,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
67,real,0.3101,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
68,mass_followers,0.338452,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
69,suspicious,0.040953,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
70,influencers,0.31079,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
71,real,0.309805,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
0,mass_followers,0.338452,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
1,suspicious,0.04115,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
2,influencers,0.310593,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
3,real,0.309805,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
0,mass_followers,0.266852,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662646335
1,suspicious,0.056771,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662646335
2,influencers,0.153907,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662646335
3,real,0.52247,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662646335
4,mass_followers,0.266852,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662975205
5,suspicious,0.056671,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662975205
6,influencers,0.154007,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662975205
7,real,0.52247,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662975205
8,mass_followers,0.266852,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1664431698
9,suspicious,0.056771,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1664431698
10,influencers,0.153907,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1664431698
11,real,0.52247,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1664431698
12,mass_followers,0.188323,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
13,suspicious,0.034845,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
14,influencers,0.081128,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
15,real,0.695704,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
16,mass_followers,0.137,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662974744
17,suspicious,0.0441,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662974744
18,influencers,0.0733,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662974744
19,real,0.7456,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662974744
20,mass_followers,0.137,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1664431603
21,suspicious,0.0441,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1664431603
22,influencers,0.0733,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1664431603
23,real,0.7456,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1664431603
24,mass_followers,0.1371,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662645690
25,suspicious,0.0441,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662645690
26,influencers,0.0732,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662645690
27,real,0.7456,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662645690
28,mass_followers,0.262073,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662974742
29,suspicious,0.053004,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662974742
30,influencers,0.171182,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662974742
31,real,0.513742,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662974742
32,mass_followers,0.252197,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1664432130
33,suspicious,0.052513,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1664432130
34,influencers,0.173315,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1664432130
35,real,0.521974,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1664432130
36,mass_followers,0.262073,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662645717
37,suspicious,0.053004,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662645717
38,influencers,0.171182,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662645717
39,real,0.513742,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662645717
40,mass_followers,0.256376,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662645707
41,suspicious,0.046421,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662645707
42,influencers,0.240138,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662645707
43,real,0.457065,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662645707
44,mass_followers,0.256553,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1664431610
45,suspicious,0.046421,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1664431610
46,influencers,0.239961,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1664431610
47,real,0.457065,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1664431610
0,mass_followers,0.256376,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662975110
1,suspicious,0.046421,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662975110
2,influencers,0.240226,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662975110
3,real,0.456976,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662975110
0,mass_followers,0.414717,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1664431509
1,suspicious,0.078716,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1664431509
2,influencers,0.125946,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1664431509
3,real,0.380621,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1664431509
4,mass_followers,0.414543,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662645357
5,suspicious,0.078716,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662645357
6,influencers,0.126033,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662645357
7,real,0.380708,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662645357
8,mass_followers,0.414543,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662974848
9,suspicious,0.078716,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662974848
10,influencers,0.126033,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662974848
11,real,0.380708,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662974848
12,mass_followers,0.233533,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662645504
13,suspicious,0.091621,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662645504
14,influencers,0.178195,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662645504
15,real,0.49665,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662645504
16,mass_followers,0.23362,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662974731
17,suspicious,0.091534,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662974731
18,influencers,0.178108,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662974731
19,real,0.496737,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662974731
20,mass_followers,0.23362,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1664431893
21,suspicious,0.091621,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1664431893
22,influencers,0.178021,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1664431893
23,real,0.496737,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1664431893
24,mass_followers,0.133885,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1664431507
25,suspicious,0.119393,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1664431507
26,influencers,0.307108,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1664431507
27,real,0.439614,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1664431507
28,mass_followers,0.134576,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662645374
