,left_number,right_number,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
0,50000,100000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
0,50000,100000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
0,50000,100000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
0,100000,500000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
0,100000,500000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
0,100000,500000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
0,500000,1000000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
0,500000,1000000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
0,500000,1000000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
0,10000,50000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
0,10000,50000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
0,10000,50000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
0,10000,50000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
0,10000,50000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
0,10000,50000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487
0,10000,50000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
0,50000,100000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489
0,50000,100000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071
0,100000,500000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
0,100000,500000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
0,50000,100000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
0,50000,100000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
0,50000,100000,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662646335
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662975205
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1664431698
0,50000,100000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
0,50000,100000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662975103
0,50000,100000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1664431913
0,100000,500000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1664431628
0,50000,100000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
0,50000,100000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662974799
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,lexie_byers,1664431557
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,lexie_byers,1662645401
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,lexie_byers,1662974773
