,tag,weight,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
0,milliondollarbabyclassic,0.103448,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
1,nashvillephotographer,0.103448,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
2,nashvilleblogger,0.103448,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
3,kimptonlove,0.103448,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
4,20weekspregnant,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
5,20wkspregnant,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
6,liketkit,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
7,rosewoodmansiononturtlecreek,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
8,rosewoodhotels,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
9,hatchcollection,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
10,pregnantwithtwins,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
11,babybump,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
12,maternity,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
13,hatchgirl,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
14,hatch,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
15,staycation,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
16,nashvillemom,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
17,kimpton,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
18,ltkbump,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
19,tennessee,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
20,whitesummerdress,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
21,ltk,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
22,palomarphilly,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
23,babygirl,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
24,20wks,0.068966,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
25,nashvillebabyphotographer,0.034483,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
26,kimptonpalomar,0.034483,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
27,sleepbettermombetter,0.034483,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
28,twins,0.034483,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
29,obsessed,0.034483,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
0,milliondollarbabyclassic,0.136364,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
1,nashvillephotographer,0.136364,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
2,nashvilleblogger,0.136364,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
3,hatchcollection,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
4,pregnantwithtwins,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
5,20weekspregnant,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
6,babybump,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
7,maternity,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
8,hatchgirl,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
9,20wkspregnant,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
10,hatch,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
11,nashvillemom,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
12,liketkit,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
13,ltkbump,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
14,tennessee,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
15,rosewoodmansiononturtlecreek,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
16,whitesummerdress,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
17,ltk,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
18,babygirl,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
19,20wks,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
20,rosewoodhotels,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
21,franklinmoms,0.045455,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
22,dallas,0.045455,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
23,weekender,0.045455,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
24,couple,0.045455,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
25,nashvillebabyphotographer,0.045455,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
26,kimptonpalomar,0.045455,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
27,sleepbettermombetter,0.045455,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
28,mamatobe,0.045455,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
29,bumpsuit,0.045455,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
0,steinstyle,0.151515,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
1,milliondollarbabyclassic,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
2,nashvillephotographer,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
3,nashvilleblogger,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
4,kimptonlove,0.090909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
5,hatchcollection,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
6,pregnantwithtwins,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
7,20weekspregnant,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
8,babybump,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
9,maternity,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
10,hatchgirl,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
11,20wkspregnant,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
12,hatch,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
13,staycation,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
14,nashvillemom,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
15,kimpton,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
16,liketkit,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
17,ltkbump,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
18,tennessee,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
19,rosewoodmansiononturtlecreek,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
20,whitesummerdress,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
21,ltk,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
22,palomarphilly,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
23,20wks,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
24,rosewoodhotels,0.060606,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
25,franklinmoms,0.030303,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
26,dallas,0.030303,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
27,weekender,0.030303,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
28,couple,0.030303,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
29,nashvillebabyphotographer,0.030303,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
0,ad,0.125,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
1,primevideocreator,0.125,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
2,spyvsspy,0.125,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
3,alltheoldknives,0.125,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
4,doyou,0.0625,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
5,breastimplants,0.0625,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
6,viomi,0.0625,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
7,babynola,0.0625,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
8,emojiday,0.0625,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
9,lovemylook,0.0625,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
10,blueairpartner,0.0625,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
11,photodump,0.0625,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
12,primeday,0.0625,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
13,thepowerofyou,0.0625,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
14,vanillagift,0.0625,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
