,OS_MERCHANT,INFLUENCER_HANDLE,OS_DT,product_type,CODE,TOTAL_REACH,TOTAL_ENGAGEMENT,TOTAL_IMPRESSIONS,OS_INFLUENCER_CAC_PER_POST,window,Revenue,Methodology,NEW_AOV,BLENDED_CAC,Influencer_Order_DT,OS_GM,Conversions,CAC,CPM,CPA,Gross Profit,Contribution Margin
0,Kozy Couch,chelseaericasmith,2022-09-29,clips,CjGHDrcDZDb,20223.163461666667,684.0436543333334,3087.7006673333335,93.20785000000001,7,494.95045833333313,Bottom Up,316.09446389844413,36.57,2022-08-17,0.5753926168281993,1.5658308349631598,59.52613010216584,0.03312704527926922,7.338906050652744,284.79083942073316,191.58298942073316
1,Kozy Couch,chelseaericasmith,2022-09-29,clips,CjGHDrcDZDb,20223.163461666667,684.0436543333334,3087.7006673333335,93.20785000000001,14,621.7731912878787,Bottom Up,316.09446389844413,36.57,2022-08-17,0.5753926168281993,1.9670486588706724,47.384618361964044,0.03312704527926922,7.338906050652744,357.7637036087531,264.55585360875307
2,Kozy Couch,chelseaericasmith,2022-09-29,clips,CjGHDrcDZDb,20223.163461666667,684.0436543333334,3087.7006673333335,93.20785000000001,30,722.5449257246377,Bottom Up,316.09446389844413,36.57,2022-08-17,0.5753926168281993,2.2858512509626845,40.775990983991456,0.03312704527926922,7.338906050652744,415.74701558863615,322.53916558863614
3,Kozy Couch,chelseaericasmith,2022-09-29,clips,CjGHDrcDZDb,20223.163461666667,684.0436543333334,3087.7006673333335,93.20785000000001,90,688.5276323690216,Bottom Up,316.09446389844413,36.57,2022-08-17,0.5753926168281993,2.178233759229121,42.79056350360962,0.03312704527926922,7.338906050652744,396.1737161473357,302.9658661473357
4,Kozy Couch,kasey.moore_,2022-08-28,clips,Chzv7qQvhU7,60981.54005,155.144966,2182.281394,93.20785000000001,7,16.029074219608873,Bottom Up,308.5067262208005,101.86,2022-08-17,0.5753926168281993,0.05195696838109374,1793.9431976927424,0.023413064393181474,1.66450536086821,9.223010960554175,-83.98483903944583
5,Kozy Couch,kasey.moore_,2022-08-28,clips,Chzv7qQvhU7,60981.54005,155.144966,2182.281394,93.20785000000001,14,16.15528124914493,Bottom Up,308.5067262208005,101.86,2022-08-17,0.5753926168281993,0.052366058422928775,1779.9286944076819,0.023413064393181474,1.66450536086821,9.295629553541042,-83.91222044645896
6,Kozy Couch,kasey.moore_,2022-08-28,clips,Chzv7qQvhU7,60981.54005,155.144966,2182.281394,93.20785000000001,30,18.98343098527692,Bottom Up,308.5067262208005,101.86,2022-08-17,0.5753926168281993,0.06153328070938182,1514.7550874170902,0.023413064393181474,1.66450536086821,10.92292603099601,-82.284923969004
7,Kozy Couch,kasey.moore_,2022-08-28,clips,Chzv7qQvhU7,60981.54005,155.144966,2182.281394,93.20785000000001,90,15.300548291183661,Bottom Up,308.5067262208005,101.86,2022-08-17,0.5753926168281993,0.04959550956510734,1879.3606682806603,0.023413064393181474,1.66450536086821,8.8038225201704,-84.40402747982961
8,Kozy Couch,lovemilanmarie,2022-07-12,clips,Cf63mvxDigc,420318.20328666666,1806.3699133333332,29259.531986666665,87.40285000000002,7,287.98858200557254,Bottom Up,144.23889158104362,50.0,2022-06-29,0.64747647973924,1.9966083963128638,43.775659844668006,0.33476633755840524,20.667174049053695,186.46583328206356,99.06298328206354
9,Kozy Couch,lovemilanmarie,2022-07-12,clips,Cf63mvxDigc,420318.20328666666,1806.3699133333332,29259.531986666665,87.40285000000002,14,282.39487118369465,Bottom Up,144.23889158104362,50.0,2022-06-29,0.64747647973924,1.9578275185581637,44.642773263483186,0.33476633755840524,20.667174049053695,182.84403709043477,95.44118709043475
10,Kozy Couch,lovemilanmarie,2022-07-12,clips,Cf63mvxDigc,420318.20328666666,1806.3699133333332,29259.531986666665,87.40285000000002,30,221.70565619358842,Bottom Up,144.23889158104362,50.0,2022-06-29,0.64747647973924,1.5370726560874777,56.863187080875214,0.33476633755840524,20.667174049053695,143.54919781050287,56.14634781050286
11,Kozy Couch,lovemilanmarie,2022-07-12,clips,Cf63mvxDigc,420318.20328666666,1806.3699133333332,29259.531986666665,87.40285000000002,90,160.90285406788965,Bottom Up,144.23889158104362,50.0,2022-06-29,0.64747647973924,1.115530300490995,78.35094211383598,0.33476633755840524,20.667174049053695,104.18081353187385,16.777963531873837
12,Kozy Couch,Adalynandmommy,2022-05-31,carousel_container,CeOguBagMMl,6059.878,420.335174,3242.861077,87.40285000000002,7,647.9370443228368,Bottom Up,268.0122784321281,25.0,2022-05-18,0.64747647973924,2.4175647776783538,36.15326083793093,0.037102463786936,4.809170112873892,419.5239965507983,332.1211465507983
13,Kozy Couch,Adalynandmommy,2022-05-31,carousel_container,CeOguBagMMl,6059.878,420.335174,3242.861077,87.40285000000002,14,616.8841075730959,Bottom Up,268.0122784321281,25.0,2022-05-18,0.64747647973924,2.3017009190096367,37.97315684159662,0.037102463786936,4.809170112873892,399.4179503785108,312.0151003785108
14,Kozy Couch,Adalynandmommy,2022-05-31,carousel_container,CeOguBagMMl,6059.878,420.335174,3242.861077,87.40285000000002,30,621.786979064087,Bottom Up,268.0122784321281,25.0,2022-05-18,0.64747647973924,2.3199943775021836,37.67373354331232,0.037102463786936,4.809170112873892,402.59244435211156,315.18959435211156
15,Kozy Couch,Adalynandmommy,2022-05-31,carousel_container,CeOguBagMMl,6059.878,420.335174,3242.861077,87.40285000000002,90,621.786979064087,Bottom Up,268.0122784321281,25.0,2022-05-18,0.64747647973924,2.3199943775021836,37.67373354331232,0.037102463786936,4.809170112873892,402.59244435211156,315.18959435211156
16,Kozy Couch,themhoffers,2022-07-14,clips,CgAy3psgM5A,36229.771909999996,268.836952,3775.6952119999996,87.40285000000002,7,748.3009822614544,Bottom Up,213.30709559133868,42.857142857142854,2022-06-28,0.64747647973924,3.5080923125739614,24.914637989064403,0.04319876539494992,3.075837366859318,484.507285780062,397.104435780062
17,Kozy Couch,themhoffers,2022-07-14,clips,CgAy3psgM5A,36229.771909999996,268.836952,3775.6952119999996,87.40285000000002,14,754.4625698998178,Bottom Up,213.30709559133868,42.857142857142854,2022-06-28,0.64747647973924,3.5369783073004006,24.711163712708846,0.04319876539494992,3.075837366859318,488.49676885375436,401.09391885375436
