,code,weight,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
0,MALE,0.263314,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
1,FEMALE,0.736686,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
2,MALE,0.266233,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
3,FEMALE,0.733767,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
4,MALE,0.259626,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
5,FEMALE,0.740374,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
6,FEMALE,0.882997,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
7,MALE,0.117003,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
8,MALE,0.116423,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
9,FEMALE,0.883577,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
10,MALE,0.112458,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
11,FEMALE,0.887542,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
12,FEMALE,0.91298,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
13,MALE,0.08702,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
14,MALE,0.086695,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
15,FEMALE,0.913305,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
16,FEMALE,0.909703,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
17,MALE,0.090297,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
18,FEMALE,0.877978,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
19,MALE,0.122022,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
20,FEMALE,0.87682,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
21,MALE,0.12318,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
22,MALE,0.174018,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
23,FEMALE,0.825982,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
24,MALE,0.172571,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
25,FEMALE,0.827429,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
26,FEMALE,0.825334,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
27,MALE,0.174666,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
28,FEMALE,0.862786,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487
29,MALE,0.137214,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487
30,FEMALE,0.862581,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
31,MALE,0.137419,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
32,MALE,0.060812,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489
33,FEMALE,0.939188,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489
34,FEMALE,0.938762,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071
35,MALE,0.061238,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071
36,MALE,0.722364,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
37,FEMALE,0.277636,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
38,MALE,0.723458,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
39,FEMALE,0.276542,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
40,FEMALE,0.811141,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
41,MALE,0.188859,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
42,FEMALE,0.816712,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
43,MALE,0.183288,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662646169
0,FEMALE,0.811752,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
1,MALE,0.188248,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
0,MALE,0.432796,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662646335
1,FEMALE,0.567204,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662646335
2,MALE,0.427262,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662975205
3,FEMALE,0.572738,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662975205
4,MALE,0.433315,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1664431698
5,FEMALE,0.566685,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1664431698
6,MALE,0.510549,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
7,FEMALE,0.489451,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
8,MALE,0.515417,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662975103
9,FEMALE,0.484583,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662975103
10,FEMALE,0.480349,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1664431913
11,MALE,0.519651,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1664431913
12,MALE,0.146395,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1664431628
13,FEMALE,0.853605,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1664431628
14,FEMALE,0.863049,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
15,MALE,0.136951,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
16,MALE,0.139108,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662974799
17,FEMALE,0.860892,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662974799
18,MALE,0.516027,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,lexie_byers,1664431557
19,FEMALE,0.483973,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,lexie_byers,1664431557
20,FEMALE,0.481534,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,lexie_byers,1662645401
21,MALE,0.518466,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,lexie_byers,1662645401
22,FEMALE,0.487221,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,lexie_byers,1662974773
23,MALE,0.512779,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,lexie_byers,1662974773
24,FEMALE,0.30032,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1662645498
25,MALE,0.69968,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1662645498
26,FEMALE,0.300612,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1662974744
27,MALE,0.699388,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1662974744
28,MALE,0.68695,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1664431478
29,FEMALE,0.31305,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1664431478
30,MALE,0.166124,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662975016
31,FEMALE,0.833876,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662975016
32,FEMALE,0.834735,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662645515
33,MALE,0.165265,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662645515
34,MALE,0.167312,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1664431791
35,FEMALE,0.832688,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1664431791
36,FEMALE,0.488982,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1664431907
37,MALE,0.511018,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1664431907
38,FEMALE,0.490598,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1662974748
39,MALE,0.509402,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1662974748
40,FEMALE,0.48222,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1662645548
41,MALE,0.51778,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1662645548
42,FEMALE,0.59689,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
43,MALE,0.40311,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
44,MALE,0.405537,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
45,FEMALE,0.594463,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
46,FEMALE,0.578799,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
47,MALE,0.421201,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
48,FEMALE,0.17933,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1662645558
49,MALE,0.82067,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1662645558
50,MALE,0.82067,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1662974738
51,FEMALE,0.17933,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1662974738
52,FEMALE,0.17933,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1664431602
53,MALE,0.82067,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1664431602
54,MALE,0.115953,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,blancobungalow,1664431784
55,FEMALE,0.884047,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,blancobungalow,1664431784
56,MALE,0.116099,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,blancobungalow,1662975225
57,FEMALE,0.883901,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,blancobungalow,1662975225
58,FEMALE,0.883901,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,blancobungalow,1662645531
59,MALE,0.116099,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,blancobungalow,1662645531
60,MALE,0.113799,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662974744
61,FEMALE,0.886201,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662974744
62,MALE,0.118873,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1664431603
63,FEMALE,0.881127,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1664431603
64,MALE,0.12257,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662645690
65,FEMALE,0.87743,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662645690
66,MALE,0.384465,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662974742
67,FEMALE,0.615535,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662974742
68,FEMALE,0.61423,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1664432130
69,MALE,0.38577,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1664432130
