,id,name,interest,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
0,191,Babybump,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
1,318,Canon,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
2,960,Nissan,"[{'id': 1826, 'name': 'Cars & Motorbikes'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
3,1258,Subaru,"[{'id': 1826, 'name': 'Cars & Motorbikes'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
4,1284,Target,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
5,1444,Yves Saint Laurent,"[{'id': 1500, 'name': 'Luxury Goods'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
6,1446,Zara,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
7,1781,SheInside,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
8,14232,shein,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662974911
0,191,Babybump,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
1,318,Canon,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
2,960,Nissan,"[{'id': 1826, 'name': 'Cars & Motorbikes'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
3,1258,Subaru,"[{'id': 1826, 'name': 'Cars & Motorbikes'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
4,1284,Target,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
5,1444,Yves Saint Laurent,"[{'id': 1500, 'name': 'Luxury Goods'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
6,1446,Zara,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
7,1781,SheInside,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
8,14232,shein,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1664431477
0,191,Babybump,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
1,318,Canon,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
2,960,Nissan,"[{'id': 1826, 'name': 'Cars & Motorbikes'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
3,1258,Subaru,"[{'id': 1826, 'name': 'Cars & Motorbikes'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
4,1284,Target,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
5,1444,Yves Saint Laurent,"[{'id': 1500, 'name': 'Luxury Goods'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
6,1446,Zara,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
7,1781,SheInside,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
8,14232,shein,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
1,496,FashionNova,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
2,851,Marvel Entertainment,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
3,956,Nike,"[{'id': 33, 'name': 'Activewear'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
4,1061,Pottery Barn,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
5,1115,REVOLVE,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
6,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
7,14320,Jordan,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
8,14362,SKIMS,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
1,496,FashionNova,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
2,851,Marvel Entertainment,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
3,956,Nike,"[{'id': 33, 'name': 'Activewear'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
4,1061,Pottery Barn,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
5,1115,REVOLVE,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
6,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
7,14320,Jordan,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
8,14362,SKIMS,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
1,496,FashionNova,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
2,851,Marvel Entertainment,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
3,956,Nike,"[{'id': 33, 'name': 'Activewear'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
4,1061,Pottery Barn,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
5,1115,REVOLVE,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
6,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
7,14320,Jordan,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
8,14362,SKIMS,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
0,496,FashionNova,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
1,943,Netflix,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
0,496,FashionNova,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
1,943,Netflix,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
0,496,FashionNova,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
1,943,Netflix,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
1,1053,Polaroid,"[{'id': 11, 'name': 'Camera & Photography'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
2,14099,Minted,"[{'id': 36, 'name': 'Art & Design'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
1,1053,Polaroid,"[{'id': 11, 'name': 'Camera & Photography'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
2,14099,Minted,"[{'id': 36, 'name': 'Art & Design'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
1,943,Netflix,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
2,1407,Walmart,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
3,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
1,943,Netflix,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
2,1407,Walmart,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
3,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
1,943,Netflix,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
2,1407,Walmart,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
3,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487
1,837,MamaBear,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487
2,1061,Pottery Barn,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487
3,1351,Twistshake,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487
4,1407,Walmart,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487
5,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
1,837,MamaBear,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
2,1061,Pottery Barn,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
3,1351,Twistshake,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
4,1407,Walmart,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
5,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489
1,387,Costco,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489
2,760,Kroger,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489
3,1407,Walmart,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489
4,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489
5,14311,CVS,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071
1,387,Costco,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071
2,760,Kroger,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071
3,1407,Walmart,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071
4,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071
5,14311,CVS,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071
0,496,FashionNova,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
0,496,FashionNova,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1664431625
